geo,county,Urbanization Status,births_2010_2014,deaths_2010_2014,prenatal_eligible_2010_2014,prenatal_sum_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_black_2010_2014,race_female_hispanic_2010_2014,race_female_other_2010_2014
0500000US48001,ANDERSON,Rural,2914,1,2834,1763,115354,80543,17085,15216,2510
0500000US48003,ANDREWS,Rural,1509,0,1445,958,38789,18754,533,18794,708
0500000US48005,ANGELINA,Rural,6031,8,5753,3538,224258,141767,34819,43066,4606
0500000US48007,ARANSAS,Urban,1278,2,1104,645,59489,42276,584,14611,2018
0500000US48009,ARCHER,Urban,363,0,361,296,22493,20471,73,1571,378
0500000US48011,ARMSTRONG,Urban,108,0,105,82,4916,4472,25,320,99
0500000US48013,ATASCOSA,Urban,3268,1,2735,1860,116860,42825,611,72156,1268
0500000US48015,AUSTIN,Urban,1742,0,1635,945,72438,47599,6859,16832,1148
0500000US48017,BAILEY,Rural,579,1,535,239,17810,7028,131,10496,155
0500000US48019,BANDERA,Urban,820,1,755,451,52077,42339,201,8644,893
0500000US48021,BASTROP,Urban,4531,2,4373,3105,185702,107685,13555,60160,4302
0500000US48023,BAYLOR,Rural,193,0,191,157,9603,8063,181,1237,122
0500000US48025,BEE,Rural,1904,0,1794,1202,64696,21601,1023,41078,994
0500000US48027,BELL,Urban,31559,7,24453,17606,801976,403193,167600,174243,56940
0500000US48029,BEXAR,Urban,132755,48,108886,78398,4472069,1322084,312989,2659659,177337
0500000US48031,BLANCO,Rural,455,0,412,243,26219,21141,105,4518,455
0500000US48033,BORDEN,Rural,31,0,31,21,1544,1312,0,208,24
0500000US48035,BOSQUE,Rural,926,0,875,516,46024,37593,682,7114,635
0500000US48037,BOWIE,Urban,6053,3,5526,3150,230604,156181,56632,11426,6365
0500000US48039,BRAZORIA,Urban,23343,12,21418,14136,789582,418742,93208,218282,59350
0500000US48041,BRAZOS,Urban,13335,2,10973,7242,489866,289171,56075,114507,30113
0500000US48043,BREWSTER,Rural,570,0,533,373,23069,12529,92,9969,479
0500000US48045,BRISCOE,Rural,68,0,65,35,4080,2924,107,1015,34
0500000US48047,BROOKS,Rural,637,0,502,263,18273,1486,41,16642,104
0500000US48049,BROWN,Rural,2100,2,2072,1575,97041,73043,3161,19036,1801
0500000US48051,BURLESON,Urban,968,2,784,478,43936,30080,5487,7825,544
0500000US48053,BURNET,Rural,2313,0,2153,1421,110539,84980,1836,21785,1938
0500000US48055,CALDWELL,Urban,2407,1,2333,1423,95757,42167,6143,45665,1782
0500000US48057,CALHOUN,Rural,1447,1,1367,943,53125,24173,1311,25133,2508
0500000US48059,CALLAHAN,Urban,661,1,649,448,35075,31420,385,2580,690
0500000US48061,CAMERON,Urban,37401,8,34685,25667,1070410,106225,2620,951999,9566
0500000US48063,CAMP,Rural,965,0,934,555,31757,18909,5844,6373,631
0500000US48065,CARSON,Urban,313,0,311,233,15755,13995,91,1387,282
0500000US48067,CASS,Rural,1781,0,1638,901,78455,60234,14238,2624,1359
0500000US48069,CASTRO,Rural,640,0,630,353,19973,7447,381,11956,189
0500000US48071,CHAMBERS,Urban,2325,2,2146,1378,89320,63153,7279,16940,1948
0500000US48073,CHEROKEE,Rural,3708,1,3369,1819,126313,81868,17627,24546,2272
0500000US48075,CHILDRESS,Rural,389,1,379,238,14603,10455,667,3200,281
0500000US48077,CLAY,Urban,448,0,435,335,27468,25454,115,1271,628
0500000US48079,COCHRAN,Rural,244,0,236,121,7870,3334,295,4154,87
0500000US48081,COKE,Rural,143,1,144,85,8440,6841,12,1480,107
0500000US48083,COLEMAN,Rural,464,0,450,277,22334,17859,470,3677,328
0500000US48085,COLLIN,Urban,52780,5,51254,37928,2065296,1289948,187529,304943,282876
0500000US48087,COLLINGSWORTH,Rural,226,0,218,118,7755,4856,352,2369,178
0500000US48089,COLORADO,Rural,1259,0,1218,750,52960,31718,7041,13578,623
0500000US48091,COMAL,Urban,6610,0,6078,3683,286269,204052,4206,71932,6079
0500000US48093,COMANCHE,Rural,784,0,774,472,35480,26014,67,8946,453
0500000US48095,CONCHO,Rural,129,0,127,75,6449,4393,23,1959,74
0500000US48097,COOKE,Rural,2651,1,2556,1508,97685,77649,2572,14681,2783
0500000US48099,CORYELL,Urban,5121,2,4470,3263,194687,120489,31248,30736,12214
0500000US48101,COTTLE,Rural,77,0,77,51,3975,2757,359,843,16
0500000US48103,CRANE,Rural,362,0,321,263,11404,4653,307,6258,186
0500000US48105,CROCKETT,Rural,293,0,288,147,9476,3304,23,6078,71
0500000US48107,CROSBY,Urban,390,1,374,221,15680,6756,528,8274,122
0500000US48109,CULBERSON,Rural,143,0,138,83,6136,1206,13,4808,109
0500000US48111,DALLAM,Rural,690,2,668,419,16471,9293,201,6633,344
0500000US48113,DALLAS,Urban,195655,68,180430,108258,6072376,1977358,1433865,2266345,394808
0500000US48115,DAWSON,Rural,913,1,877,535,30104,12059,1167,16558,320
0500000US48117,DEAF SMITH,Rural,1696,2,1672,970,48763,15147,430,32635,551
0500000US48119,DELTA,Rural,309,0,300,213,13432,11256,1061,611,504
0500000US48121,DENTON,Urban,46959,8,45778,31587,1745540,1112827,154399,321285,157029
0500000US48123,DEWITT,Rural,454,0,1197,814,38993,23060,3095,12241,597
0500000US48125,DICKENS,Rural,102,0,99,46,5269,3804,68,1305,92
0500000US48127,DIMMIT,Rural,885,0,845,583,26821,3092,190,23313,226
0500000US48129,DONLEY,Rural,162,0,161,90,9267,7857,470,774,166
0500000US48131,DUVAL,Rural,876,0,600,351,28532,2594,24,25756,158
0500000US48133,EASTLAND,Rural,1017,0,994,616,47582,39553,706,6663,660
0500000US48135,ECTOR,Urban,13713,3,12038,9751,357095,144837,14867,190695,6696
0500000US48137,EDWARDS,Rural,126,0,116,57,4839,2331,15,2445,48
0500000US48139,ELLIS,Urban,10053,1,9452,5766,386257,253810,35521,89226,7700
0500000US48141,EL PASO,Urban,68690,12,63011,40327,2105003,247126,45982,1771364,40531
0500000US48143,ERATH,Rural,2452,0,2403,1466,98326,77326,938,18365,1697
0500000US48145,FALLS,Urban,1015,2,790,413,46650,24371,12741,8941,597
0500000US48147,FANNIN,Rural,1661,0,1593,940,80299,68103,3765,6401,2030
0500000US48149,FAYETTE,Rural,1197,0,1151,815,63342,46634,4352,11630,726
0500000US48151,FISHER,Rural,195,0,189,134,9983,7064,346,2473,100
0500000US48153,FLOYD,Rural,415,0,405,231,16249,7041,539,8553,116
0500000US48155,FOARD,Rural,62,0,59,42,3482,2824,149,486,23
0500000US48157,FORT BEND,Urban,41540,13,39009,26136,1555653,546776,344573,370272,294032
0500000US48159,FRANKLIN,Rural,526,0,516,336,26880,22001,1093,3173,613
0500000US48161,FREESTONE,Rural,1104,1,1049,604,47272,33774,7177,5743,578
0500000US48163,FRIO,Rural,1272,1,1107,602,36821,6635,164,29634,388
0500000US48165,GAINES,Rural,1858,0,1771,850,44765,27617,677,16061,410
0500000US48167,GALVESTON,Urban,19830,5,18407,12333,748935,440355,105620,167934,35026
0500000US48169,GARZA,Rural,325,0,308,172,11947,6529,633,4610,175
0500000US48171,GILLESPIE,Rural,1236,1,1200,732,65293,52005,131,12366,791
0500000US48173,GLASSCOCK,Rural,69,0,58,45,2915,1967,36,898,14
0500000US48175,GOLIAD,Urban,334,0,306,228,18345,11071,824,6282,168
0500000US48177,GONZALES,Rural,1442,2,1388,666,49725,22632,3299,23192,602
0500000US48179,GRAY,Rural,1674,1,1629,1026,54598,39286,1521,12629,1162
0500000US48181,GRAYSON,Urban,7570,2,7347,4335,311790,246232,18881,34969,11708
0500000US48183,GREGG,Urban,9627,2,8677,4859,314327,191667,65239,49357,8064
0500000US48185,GRIMES,Rural,1568,1,1232,759,61411,38458,9184,12877,892
0500000US48187,GUADALUPE,Urban,8579,0,7780,4979,346512,189214,21443,124103,11752
0500000US48189,HALE,Rural,2696,0,2636,1613,87671,33288,3433,49784,1166
0500000US48191,HALL,Rural,170,0,167,97,8542,5190,533,2728,91
0500000US48193,HAMILTON,Rural,446,0,423,270,21582,19211,63,2078,230
0500000US48195,HANSFORD,Rural,412,0,402,225,13976,7887,70,5887,132
0500000US48197,HARDEMAN,Rural,210,1,197,109,10292,7485,487,2183,137
0500000US48199,HARDIN,Urban,3479,3,3327,2422,140678,123832,8756,5982,2108
0500000US48201,HARRIS,Urban,341163,110,304925,186004,10501213,3407510,2060940,4233610,799153
0500000US48203,HARRISON,Rural,4272,1,3905,2304,168655,108927,38701,17949,3078
0500000US48205,HARTLEY,Rural,300,0,294,232,11849,9343,26,2276,204
0500000US48207,HASKELL,Rural,240,0,239,136,13940,9985,368,3392,195
0500000US48209,HAYS,Urban,10711,1,10466,7431,412058,241312,12322,147512,10912
0500000US48211,HEMPHILL,Rural,336,0,324,204,9543,6800,10,2580,153
0500000US48213,HENDERSON,Rural,4505,0,4179,2382,201727,163942,12542,21510,3733
0500000US48215,HIDALGO,Urban,81184,14,50738,33487,2040557,151438,4895,1859875,24349
0500000US48217,HILL,Rural,2089,0,2015,1249,89944,66614,6020,15878,1432
0500000US48219,HOCKLEY,Rural,1650,2,1608,942,58503,30030,2109,25679,685
0500000US48221,HOOD,Urban,2846,2,2769,1855,131972,116067,504,12784,2617
0500000US48223,HOPKINS,Rural,2351,1,2304,1682,89327,67977,6545,12907,1898
0500000US48225,HOUSTON,Rural,1160,2,1094,678,54690,36051,13393,4199,1047
0500000US48227,HOWARD,Rural,2268,2,2145,1343,77161,43971,2996,28569,1625
0500000US48229,HUDSPETH,Urban,228,0,204,106,8638,1455,51,7020,112
0500000US48231,HUNT,Urban,5445,4,5241,2935,219830,164962,18883,29128,6857
0500000US48233,HUTCHINSON,Rural,1502,0,1476,974,55191,41374,1226,10942,1649
0500000US48235,IRION,Urban,82,0,79,46,4073,2938,21,1041,73
0500000US48237,JACK,Rural,496,1,487,336,20153,17084,181,2600,288
0500000US48239,JACKSON,Rural,963,1,908,699,35917,22686,2545,10276,410
0500000US48241,JASPER,Rural,2225,3,2129,1390,90876,68936,15610,4503,1827
0500000US48243,JEFF DAVIS,Rural,80,0,72,45,5799,3713,25,1971,90
0500000US48245,JEFFERSON,Urban,17587,6,14613,9791,617691,276796,215852,96978,28065
0500000US48247,JIM HOGG,Rural,461,0,376,297,13426,810,11,12509,96
0500000US48249,JIM WELLS,Rural,3306,2,2255,1488,105184,20432,329,83547,876
0500000US48251,JOHNSON,Urban,9877,6,9424,6220,383927,296506,9419,68466,9536
0500000US48253,JONES,Urban,883,1,855,544,38988,28580,1520,8168,720
0500000US48255,KARNES,Rural,824,0,737,471,30485,13901,499,15746,339
0500000US48257,KAUFMAN,Urban,7289,1,6997,4317,268241,187109,28996,45436,6700
0500000US48259,KENDALL,Urban,1680,0,1491,1044,89523,69736,328,17853,1606
0500000US48261,KENEDY,Rural,22,0,-,12,1043,242,7,769,25
0500000US48263,KENT,Rural,44,0,44,27,2084,1758,24,277,25
0500000US48265,KERR,Rural,2528,1,2423,1185,128868,94299,1610,30316,2643
0500000US48267,KIMBLE,Rural,209,0,206,111,11710,8884,20,2669,137
0500000US48269,KING,Rural,11,0,-,9,729,641,0,75,13
0500000US48271,KINNEY,Rural,161,0,141,86,8316,3770,86,4345,115
0500000US48273,KLEBERG,Rural,2411,2,2214,1448,78761,17585,2318,56768,2090
0500000US48275,KNOX,Rural,265,0,260,177,10007,6330,627,2946,104
0500000US48277,LAMAR,Rural,3345,1,3251,2074,129343,98107,18433,8217,4586
0500000US48279,LAMB,Rural,1011,1,973,535,35030,15233,1399,17993,405
0500000US48281,LAMPASAS,Urban,1189,0,1056,720,50589,38285,1529,8798,1977
0500000US48283,LA SALLE,Rural,492,0,432,272,14420,2207,5,12114,94
0500000US48285,LAVACA,Rural,1093,1,1043,749,49656,37992,3265,7848,551
0500000US48287,LEE,Rural,991,0,931,633,41374,27402,4310,9049,613
0500000US48289,LEON,Rural,1043,1,911,562,42603,33296,3100,5525,682
0500000US48291,LIBERTY,Urban,5261,2,5004,2537,194658,134626,21927,34455,3650
0500000US48293,LIMESTONE,Rural,1552,1,1437,776,56627,35577,10219,9949,882
0500000US48295,LIPSCOMB,Rural,235,0,206,103,8315,5635,23,2482,175
0500000US48297,LIVE OAK,Rural,622,0,562,365,27098,16735,118,9892,353
0500000US48299,LLANO,Rural,783,0,735,500,50435,45248,222,4155,810
0500000US48301,LOVING,Rural,0,0,-,0,179,125,0,49,5
0500000US48303,LUBBOCK,Urban,20274,3,19808,12875,717558,411560,52209,230151,23638
0500000US48305,LYNN,Urban,375,0,366,226,14777,7659,245,6716,157
0500000US48307,MCCULLOCH,Rural,295,1,468,310,16898,11550,254,4931,163
0500000US48309,MCLENNAN,Urban,10530,4,16070,10285,487897,286122,74899,113592,13284
0500000US48311,MCMULLEN,Rural,16,0,38,25,1469,924,13,514,18
0500000US48313,MADISON,Rural,783,1,638,389,29221,19050,4755,4850,566
0500000US48315,MARION,Rural,492,0,451,257,26874,18946,6433,831,664
0500000US48317,MARTIN,Urban,463,1,431,245,12292,6603,196,5372,121
0500000US48319,MASON,Rural,178,0,171,106,10325,8104,31,2102,88
0500000US48321,MATAGORDA,Rural,2661,2,2507,1354,91760,43465,10732,34914,2649
0500000US48323,MAVERICK,Rural,5416,2,5296,4237,141110,3634,167,135540,1769
0500000US48325,MEDINA,Urban,2676,2,2293,1674,113591,54152,726,57097,1616
0500000US48327,MENARD,Rural,94,0,94,60,5586,3560,16,1961,49
0500000US48329,MIDLAND,Urban,12611,2,11817,7681,361692,190343,23646,138770,8933
0500000US48331,MILAM,Rural,1552,2,1027,657,62695,41060,6322,14525,788
0500000US48333,MILLS,Rural,238,0,223,143,12526,10344,64,1998,120
0500000US48335,MITCHELL,Rural,498,0,487,291,18308,11161,625,6290,232
0500000US48337,MONTAGUE,Rural,1160,0,1095,679,50504,44451,72,5038,943
0500000US48339,MONTGOMERY,Urban,32734,10,31548,20191,1193282,849118,52158,247200,44806
0500000US48341,MOORE,Rural,2071,2,1990,1035,53095,21093,427,27980,3595
0500000US48343,MORRIS,Rural,780,0,743,453,33649,22296,8175,2510,668
0500000US48345,MOTLEY,Rural,42,0,41,22,2975,2495,51,403,26
0500000US48347,NACOGDOCHES,Rural,4520,0,4387,2720,169503,103756,32844,28557,4346
0500000US48349,NAVARRO,Rural,3498,3,3369,1651,121568,73094,16889,28536,3049
0500000US48351,NEWTON,Urban,721,1,660,416,35132,26722,6860,863,687
0500000US48353,NOLAN,Rural,1027,0,1000,680,38206,22843,1758,13097,508
0500000US48355,NUECES,Urban,24280,8,21750,14790,878341,280514,30783,541779,25265
0500000US48357,OCHILTREE,Rural,901,0,843,447,25398,12847,55,12141,355
0500000US48359,OLDHAM,Urban,109,0,108,84,5164,4246,155,626,137
0500000US48361,ORANGE,Urban,5494,2,4690,3236,206509,171563,18412,11567,4967
0500000US48363,PALO PINTO,Rural,1847,2,1809,1266,71828,56454,1517,12662,1195
0500000US48365,PANOLA,Rural,1468,1,1311,793,60338,44382,10214,4721,1021
0500000US48367,PARKER,Urban,6656,5,6451,4638,294463,254446,2899,30408,6710
0500000US48369,PARMER,Rural,755,0,689,372,24938,9645,215,14938,140
0500000US48371,PECOS,Rural,1122,0,1022,656,34074,8860,175,24545,494
0500000US48373,POLK,Rural,2466,0,2356,1378,106730,80813,10074,12336,3507
0500000US48375,POTTER,Urban,10356,1,10009,5805,298714,149508,25956,106155,17095
0500000US48377,PRESIDIO,Rural,624,0,522,266,20181,2703,44,17140,294
0500000US48379,RAINS,Rural,493,0,475,299,27499,24284,597,2024,594
0500000US48381,RANDALL,Urban,8270,2,8162,6040,317552,248651,6788,53293,8820
0500000US48383,REAGAN,Rural,282,0,267,147,8316,3175,124,4964,53
0500000US48385,REAL,Rural,170,1,163,86,8471,6212,55,2038,166
0500000US48387,RED RIVER,Rural,677,2,648,415,32698,24037,6020,2054,587
0500000US48389,REEVES,Rural,879,0,809,599,27632,4489,484,22284,375
0500000US48391,REFUGIO,Rural,437,0,389,272,18522,8336,1050,8937,199
0500000US48393,ROBERTS,Rural,52,0,51,36,2292,2105,0,164,23
0500000US48395,ROBERTSON,Urban,1056,0,858,500,42607,24802,9570,7639,596
0500000US48397,ROCKWALL,Urban,4839,1,4662,3217,206184,153035,12104,32431,8614
0500000US48399,RUNNELS,Rural,554,1,537,338,26462,17384,384,8395,299
0500000US48401,RUSK,Urban,3241,4,2971,1818,126906,86446,20806,17283,2371
0500000US48403,SABINE,Rural,438,0,423,262,27857,24539,2000,861,457
0500000US48405,SAN AUGUSTINE,Rural,511,0,495,297,22585,15594,5399,1309,283
0500000US48407,SAN JACINTO,Rural,1391,1,1331,732,67176,51616,6942,7416,1202
0500000US48409,SAN PATRICIO,Urban,4763,5,4148,2696,163727,68071,2233,90345,3078
0500000US48411,SAN SABA,Rural,334,0,317,200,13880,9974,61,3636,209
0500000US48413,SCHLEICHER,Rural,194,0,187,118,8704,4700,73,3888,43
0500000US48415,SCURRY,Rural,1299,0,1279,601,39870,23871,1064,14399,536
0500000US48417,SHACKELFORD,Rural,156,0,151,101,8729,7734,36,825,134
0500000US48419,SHELBY,Rural,1799,2,1667,967,64804,42112,11911,10039,742
0500000US48421,SHERMAN,Rural,197,0,190,116,7450,4354,9,3023,64
0500000US48423,SMITH,Urban,15180,6,13117,6952,548642,339268,102663,92004,14707
0500000US48425,SOMERVELL,Urban,442,0,432,285,21863,17060,134,4177,492
0500000US48427,STARR,Rural,6899,0,3659,2093,159248,6276,11,152567,394
0500000US48429,STEPHENS,Rural,516,0,510,336,23206,18058,315,4603,230
0500000US48431,STERLING,Rural,71,0,68,45,2888,1900,16,918,54
0500000US48433,STONEWALL,Rural,68,0,66,44,3823,3102,88,553,80
0500000US48435,SUTTON,Rural,263,0,256,134,10492,4207,8,6232,45
0500000US48437,SWISHER,Rural,541,0,532,307,18471,9888,880,7420,283
0500000US48439,TARRANT,Urban,139128,52,129469,76387,4713193,2419844,733654,1245515,314180
0500000US48441,TAYLOR,Urban,10227,1,9903,6932,340376,228745,23478,75884,12269
0500000US48443,TERRELL,Rural,61,0,55,37,2320,1167,6,1123,24
0500000US48445,TERRY,Rural,983,1,949,467,29753,13855,953,14711,234
0500000US48447,THROCKMORTON,Rural,75,0,75,59,4139,3603,34,433,69
0500000US48449,TITUS,Rural,2537,1,2493,1396,82355,40731,8065,32006,1553
0500000US48451,TOM GREEN,Urban,7798,2,7629,4898,284442,164166,10018,103111,7147
0500000US48453,TRAVIS,Urban,79216,17,77535,55825,2615793,1320642,223221,870613,201317
0500000US48455,TRINITY,Rural,709,1,678,441,37311,30373,3759,2564,615
0500000US48457,TYLER,Rural,1105,2,1073,680,50333,43930,4221,1413,769
0500000US48459,UPSHUR,Urban,2424,1,2175,1305,100320,82287,9244,6655,2134
0500000US48461,UPTON,Rural,250,0,214,168,8401,3966,135,4196,104
0500000US48463,UVALDE,Rural,2019,0,1922,1230,67849,19523,216,47347,763
0500000US48465,VAL VERDE,Rural,4376,0,3831,1609,122153,19305,1195,100354,1299
0500000US48467,VAN ZANDT,Rural,2835,2,2630,1507,134564,116700,3726,11531,2607
0500000US48469,VICTORIA,Urban,6464,3,6015,4349,224911,107394,13949,99026,4542
0500000US48471,WALKER,Rural,3099,2,2968,2048,140725,87627,27286,22104,3708
0500000US48473,WALLER,Urban,2973,1,2759,1821,111126,49522,29095,30690,1819
0500000US48475,WARD,Rural,850,0,768,622,28048,13156,1212,13287,393
0500000US48477,WASHINGTON,Rural,2064,2,1854,1094,86286,57584,15372,11430,1900
0500000US48479,WEBB,Urban,27448,3,22990,19771,662002,18866,800,637795,4541
0500000US48481,WHARTON,Rural,2734,2,2552,1521,104894,50466,14961,38470,997
0500000US48483,WHEELER,Rural,387,0,368,219,14055,10043,333,3434,245
0500000US48485,WICHITA,Urban,8970,7,8760,6833,321089,223191,31410,52094,14394
0500000US48487,WILBARGER,Rural,841,0,818,589,33733,21548,2505,8820,860
0500000US48489,WILLACY,Rural,1595,0,1398,923,50504,5018,203,45009,274
0500000US48491,WILLIAMSON,Urban,30781,9,29420,23830,1119514,712032,68849,261338,77295
0500000US48493,WILSON,Urban,2427,2,1922,1461,111209,65062,1601,42953,1593
0500000US48495,WINKLER,Rural,609,2,533,405,18005,7692,348,9715,250
0500000US48497,WISE,Urban,3835,3,3600,2203,149403,119740,1052,25710,2901
0500000US48499,WOOD,Rural,2059,2,1920,1148,107458,91998,5072,8592,1796
0500000US48501,YOAKUM,Rural,730,0,706,409,20134,7903,161,11837,233
0500000US48503,YOUNG,Rural,1146,0,1125,809,47381,38824,543,7283,731
0500000US48505,ZAPATA,Rural,1501,0,1285,1092,35406,1990,17,33214,185
0500000US48507,ZAVALA,Rural,1015,0,989,636,30005,1655,69,28205,76
